example_id                                              | status | run_time        |
./spec/features/topic_spec.rb[1:3:1]                    | passed | 0.05788 seconds |
./spec/features/topic_spec.rb[1:4:1]                    | passed | 0.03592 seconds |
./spec/features/topic_spec.rb[1:5:1]                    | passed | 0.05706 seconds |
./spec/models/comment_spec.rb[1:1:1]                    | passed | 0.01656 seconds |
./spec/models/comment_spec.rb[1:1:2]                    | passed | 0.01629 seconds |
./spec/models/comment_spec.rb[1:1:3]                    | passed | 0.01477 seconds |
./spec/models/comment_spec.rb[1:2:1]                    | passed | 0.0162 seconds  |
./spec/models/post_spec.rb[1:1:1]                       | passed | 0.01861 seconds |
./spec/models/post_spec.rb[1:1:2]                       | passed | 0.01823 seconds |
./spec/models/post_spec.rb[1:1:3]                       | passed | 0.01853 seconds |
./spec/models/post_spec.rb[1:1:4]                       | passed | 0.01809 seconds |
./spec/models/post_spec.rb[1:1:5]                       | passed | 0.01824 seconds |
./spec/models/post_spec.rb[1:1:6]                       | passed | 0.0206 seconds  |
./spec/models/post_spec.rb[1:1:7]                       | passed | 0.0211 seconds  |
./spec/models/post_spec.rb[1:1:8]                       | passed | 0.01808 seconds |
./spec/models/post_spec.rb[1:2:1]                       | passed | 0.02646 seconds |
./spec/models/rating_spec.rb[1:1:1]                     | passed | 0.01637 seconds |
./spec/models/rating_spec.rb[1:1:2]                     | passed | 0.0162 seconds  |
./spec/models/tag_spec.rb[1:1:1]                        | passed | 0.0072 seconds  |
./spec/models/tag_spec.rb[1:1:2]                        | passed | 0.00893 seconds |
./spec/models/tag_spec.rb[1:2:1]                        | passed | 0.01811 seconds |
./spec/models/topic_spec.rb[1:1:1]                      | passed | 0.00447 seconds |
./spec/models/topic_spec.rb[1:2:1]                      | passed | 0.02681 seconds |
./spec/routing/tags_routing_spec.rb[1:1:1]              | passed | 0.00144 seconds |
./spec/routing/tags_routing_spec.rb[1:1:2]              | passed | 0.00174 seconds |
./spec/routing/tags_routing_spec.rb[1:1:3]              | passed | 0.00165 seconds |
./spec/routing/tags_routing_spec.rb[1:1:4]              | passed | 0.00236 seconds |
./spec/routing/tags_routing_spec.rb[1:1:5]              | passed | 0.00114 seconds |
./spec/routing/tags_routing_spec.rb[1:1:6]              | passed | 0.0012 seconds  |
./spec/routing/tags_routing_spec.rb[1:1:7]              | passed | 0.00113 seconds |
./spec/routing/tags_routing_spec.rb[1:1:8]              | passed | 0.00121 seconds |
./spec/routing/topics_routing_spec.rb[1:1:1]            | passed | 0.00111 seconds |
./spec/routing/topics_routing_spec.rb[1:1:2]            | passed | 0.00111 seconds |
./spec/routing/topics_routing_spec.rb[1:1:3]            | passed | 0.00103 seconds |
./spec/routing/topics_routing_spec.rb[1:1:4]            | passed | 0.00117 seconds |
./spec/routing/topics_routing_spec.rb[1:1:5]            | passed | 0.00102 seconds |
./spec/routing/topics_routing_spec.rb[1:1:6]            | passed | 0.00116 seconds |
./spec/routing/topics_routing_spec.rb[1:1:7]            | passed | 0.00131 seconds |
./spec/routing/topics_routing_spec.rb[1:1:8]            | passed | 0.0016 seconds  |
